province,municipality,district,rsba_registry_count,rsba_crop_area_ha,rsba_avg_age,rsba_latitude,rsba_longitude,rsba_rice_count,rsba_rice_area_ha,rsba_corn_count,rsba_corn_area_ha,rsba_hvc_count,rsba_hvc_area_ha,rsba_top_crop,rsba_top_crop_count,rsba_male_count,rsba_female_count,rsba_female_pct,rsba_youth_count,rsba_youth_pct,rsba_millennial_count,rsba_senior_count,rsba_farmer_count,rsba_farmworker_count,rsba_fisherfolk_count,rsba_ip_count,rsba_pwd_count,rsba_4ps_count,rsba_fca_count,rsba_fca_pct,rsba_agriyouth_count,rsba_arb_count,rsba_organic_count,rsba_with_imc_count,rsba_imc_pct,rsba_rice_share_pct,rsba_corn_share_pct,rsba_fca_gap_pct,rsba_imc_gap_pct
CAGAYAN,GONZAGA,1ST,9524,11013.64,51.7,18.25944400000219,121.99361100001086,4287,5372.93,2605,5467.48,6213,173.26,Rice/Palay,4287,6263,3261,34.2,306,3.2,2776,2569,5244,3720,3070,419,69,829,2488,26.1,0,207,256,3130,32.9,45,27.4,73.9,67.1
CAGAYAN,IGUIG,3RD,4404,4597.87,53,17.752500000001387,121.73805599998313,1863,1902.01,1522,2639.44,775,50.56,Rice/Palay,1855,2797,1607,36.5,294,6.7,1140,1417,2647,1076,832,581,33,435,247,5.6,55,86,22,1589,36.1,42.3,34.6,94.4,63.9
CAGAYAN,LAL LO,1ST,11388,13969.68,53,18.201388999996347,121.66083299998063,5011,7355.76,3759,6208.88,2583,405.03,Rice/Palay,5010,6893,4495,39.5,393,3.5,3264,3533,6420,4664,1468,511,451,878,638,5.6,2,162,48,3562,31.3,44,33,94.4,68.7
CAGAYAN,LASAM,2ND,9726,11582.73,53.9,18.064443999997145,121.60138899997152,4899,7660.57,2299,3363.31,4271,558.85,Rice/Palay,4897,5484,4242,43.6,471,4.8,2564,3079,5542,5025,776,83,101,701,335,3.4,1,1694,78,3752,38.6,50.4,23.6,96.6,61.4
CAGAYAN,PAMPLONA,2ND,7220,6968.02,51.9,18.463611000002988,121.34111100001131,3073,5072.21,778,1120.02,1792,775.79,Rice/Palay,3067,4598,2622,36.3,355,4.9,2058,2021,4238,2414,1972,341,77,681,1640,22.7,0,46,44,2179,30.2,42.6,10.8,77.3,69.8
CAGAYAN,PEÑABLANCA,3RD,9059,13255.66,52.1,17.62555600000233,121.78527799998896,2060,1785.56,6618,11404.45,6188,65.65,Corn,6616,4805,4254,47,557,6.1,2869,2512,7327,2022,1057,5065,76,923,607,6.7,0,108,392,1836,20.3,22.7,73.1,93.3,79.7
CAGAYAN,PIAT,2ND,3928,7194.73,55.5,17.791667000000807,121.47694399999526,2195,3423.47,2433,3361.79,3946,409.47,Corn,2433,2431,1497,38.1,179,4.6,966,1365,3599,203,195,61,37,192,279,7.1,0,222,97,1574,40.1,55.9,61.9,92.9,59.9
CAGAYAN,RIZAL,2ND,5090,7493.79,51.4,17.845832999999477,121.34583300001952,1804,1514.8,3547,5245.79,1328,733.2,Corn,3547,2838,2252,44.2,395,7.8,1490,1387,4034,793,638,3546,52,696,286,5.6,0,72,29,1317,25.9,35.4,69.7,94.4,74.1
CAGAYAN,SANCHEZ MIRA,2ND,5406,3258.71,53.4,18.55916699999958,121.23472199999806,1997,2946.65,75,70.43,629,241.64,Rice/Palay,1997,3478,1928,35.7,193,3.6,1399,1713,2667,1395,1766,171,42,355,1132,20.9,0,1,12,1279,23.7,36.9,1.4,79.1,76.3
CAGAYAN,SANTA ANA,1ST,9043,4105.05,45.7,18.45749999999803,122.1424999999951,2527,3617.61,171,233.21,656,254.23,Rice/Palay,2527,5731,3312,36.6,1661,18.4,2755,1649,2691,2166,4039,85,158,1097,1431,15.8,6,89,62,1742,19.3,27.9,1.9,84.2,80.7
CAGAYAN,SANTA PRAXEDES,2ND,1860,602.11,51.2,18.563055999999577,120.98999999999607,576,421.31,2,2.58,601,178.2,Rice/Palay,575,1167,693,37.3,188,10.1,519,496,741,904,636,184,18,132,708,38.1,4,207,43,465,25,31,0.1,61.9,75.0
CAGAYAN,SANTA TERESITA,1ST,6447,6493.71,51.5,18.24861099999934,121.9091669999859,2953,3567.3,1784,2797.63,1060,128.78,Rice/Palay,2951,3658,2789,43.3,322,5,2041,1785,3722,1991,1225,31,57,378,1165,18.1,1,509,140,2108,32.7,45.8,27.7,81.9,67.3
CAGAYAN,SANTO NIÑO FAIRE,2ND,8230,9603.18,51.6,17.883888999995555,121.56916700000731,4074,4758.03,3717,4731.61,4857,113.53,Rice/Palay,4070,4835,3395,41.3,752,9.1,2520,2138,5442,3441,602,142,53,1178,331,4,0,68,243,3251,39.5,49.5,45.2,96.0,60.5
CAGAYAN,SOLANA,3RD,16203,22776.46,51.6,17.65083300000526,121.69083300000048,9003,15142.63,4565,7088.11,4335,545.43,Rice/Palay,8986,10699,5504,34,1104,6.8,4982,4462,11695,4412,494,404,115,1684,1715,10.6,19,473,87,5994,37,55.6,28.2,89.4,63.0
CAGAYAN,TUAO,3RD,12028,14732.04,53.4,17.734721999998865,121.45527800003597,7795,10685.99,3038,3619.34,2953,426.71,Rice/Palay,7794,6470,5558,46.2,486,4,3361,3876,9292,2711,825,112,115,747,567,4.7,53,142,54,5380,44.7,64.8,25.3,95.3,55.3
CAGAYAN,TUGUEGARAO CITY Capital,3RD,3772,5536.99,56.2,17.612500000001976,121.73277799998291,1188,1622.21,2641,3783.44,2523,131.33,Corn,2641,2698,1074,28.5,101,2.7,902,1403,3186,472,319,1292,45,109,850,22.5,4,148,120,839,22.2,31.5,70,77.5,77.8
ISABELA,ALICIA,3RD,10486,8894.02,52.3,16.778889000000493,121.69916699998973,4921,8800.56,38,63.46,108,30,Rice/Palay,4921,6389,4097,39.1,470,4.5,2925,3260,5050,6042,362,226,211,719,1540,14.7,0,73,48,3400,32.4,46.9,0.4,85.3,67.6
ISABELA,ANGADANAN,3RD,11712,11566.55,51.2,16.75666700000353,121.74805600004021,3988,4780.3,4198,6356.02,1845,430.24,Corn,4197,6795,4917,42,856,7.3,3628,3194,5811,7353,737,3050,140,1426,491,4.2,7,740,92,2992,25.5,34.1,35.8,95.8,74.5
ISABELA,AURORA,5TH,9126,5902.6,53.3,16.990556000001597,121.63916700000135,1919,3419.04,1434,2060.41,745,423.15,Rice/Palay,1918,4975,4151,45.5,290,3.2,2495,2813,2979,4639,1697,34,33,254,226,2.5,2,288,14,1387,15.2,21,15.7,97.5,84.8
ISABELA,BENITO SOLIVEN,2ND,5905,12040.78,50.2,16.984721999995916,121.96138900000692,4110,2905.03,5107,7660.18,3975,1475.56,Corn,5106,3448,2457,41.6,267,4.5,2002,1517,5478,904,378,13,51,732,660,11.2,0,1236,283,3961,67.1,69.6,86.5,88.8,32.9
ISABELA,BURGOS,5TH,5663,5770.97,52.6,17.068056000000503,121.69361099999591,2326,4957.1,496,756.7,77,57.18,Rice/Palay,2326,3112,2551,45,298,5.3,1558,1759,2521,2667,799,77,50,445,203,3.6,2,339,109,1487,26.3,41.1,8.8,96.4,73.7
ISABELA,CABAGAN,1ST,7941,9615.32,50.9,17.42638900000019,121.76499999998299,3032,3406.65,4052,6093.11,1904,115.57,Corn,4051,5464,2477,31.2,476,6,2646,2117,5400,3395,674,3070,73,1286,786,9.9,0,292,199,2520,31.7,38.2,51,90.1,68.3
ISABELA,CABATUAN,3RD,7495,6570.06,51.3,16.95416700000161,121.66972200001362,4040,5679.07,482,591.1,740,299.9,Rice/Palay,4038,4215,3280,43.8,713,9.5,1904,2270,4521,3140,724,23,78,340,647,8.6,0,138,21,3153,42.1,53.9,6.4,91.4,57.9
ISABELA,CITY OF CAUAYAN,6TH,16478,23923.4,50.7,16.93416699999956,121.76666700001243,8316,12487.45,6398,10746.44,760,689.51,Rice/Palay,8315,9547,6931,42.1,895,5.4,5212,4558,11572,5121,1478,399,204,708,1548,9.4,1,485,67,6573,39.9,50.5,38.8,90.6,60.1
ISABELA,CITY OF SANTIAGO,4TH,9534,9865.36,54.2,16.6875,121.54472199999043,5405,9141.01,305,430.26,1276,294.09,Rice/Palay,5399,4852,4682,49.1,355,3.7,2268,3237,5592,4364,582,439,150,427,2923,30.7,0,243,37,3598,37.7,56.7,3.2,69.3,62.3
ISABELA,CORDON,4TH,8689,10080.94,51.2,16.67388899999827,121.4661109999816,4185,5299.19,2871,4116.13,4955,665.64,Rice/Palay,4184,4605,4084,47,418,4.8,2692,2372,6000,3109,1389,1504,93,835,1463,16.8,1,511,36,3337,38.4,48.2,33,83.2,61.6
ISABELA,DELFIN ALBANO MAGSAYSAY,1ST,7016,11642.52,51.2,17.304443999998213,121.44555599999302,3891,8723.93,1530,2855.23,200,63.37,Rice/Palay,3891,4240,2776,39.6,506,7.2,1964,2008,4461,2226,486,48,90,607,821,11.7,0,99,36,2331,33.2,55.5,21.8,88.3,66.8
ISABELA,DINAPIGUE,4TH,1824,612.59,49.6,16.524721999999603,122.26305599999799,405,445.78,50,81.85,466,84.96,Rice/Palay,405,1112,712,39,79,4.3,700,398,991,40,824,125,7,113,234,12.8,0,0,0,318,17.4,22.2,2.7,87.2,82.6
ISABELA,DIVILACAN,1ST,1543,542.53,50.1,17.329721999999688,122.29611100000187,558,518.79,12,13.8,699,9.95,Rice/Palay,558,1185,358,23.2,43,2.8,579,338,564,495,972,314,21,254,133,8.6,0,0,260,704,45.6,36.2,0.8,91.4,54.4
ISABELA,ECHAGUE,6TH,14741,18469.36,51.1,16.716666999993475,121.68333300001305,6999,9498.3,5035,7631.5,3314,1339.56,Rice/Palay,6997,9064,5677,38.5,769,5.2,4531,4115,9645,5696,1890,2027,199,995,843,5.7,0,1035,205,5652,38.3,47.5,34.2,94.3,61.7
ISABELA,GAMU,2ND,6494,6479.37,52.2,17.04722199999744,121.8333329999856,2115,5073.88,1002,1353.83,308,51.65,Rice/Palay,2114,3797,2697,41.5,386,5.9,1714,1887,2700,2785,1422,178,54,537,370,5.7,1,272,45,1332,20.5,32.6,15.4,94.3,79.5
ISABELA,ILAGAN CITY Capital,1ST,21495,24432.94,52.2,17.144167000006373,121.8888889999582,9491,9467.7,11357,14654.63,313,310.61,Corn,11349,14415,7080,32.9,679,3.2,6181,6207,14688,5067,3239,223,152,1351,4303,20,0,711,54,7862,36.6,44.2,52.8,80.0,63.4
ISABELA,JONES,4TH,9007,14656.73,54.4,16.559166999999505,121.70361099997967,3936,3354.65,5242,9377.12,9662,1924.96,Corn,5235,5859,3148,35,210,2.3,2256,2959,6202,3803,1483,266,48,533,3885,43.1,0,426,39,3261,36.2,43.7,58.2,56.9,63.8
ISABELA,LUNA,5TH,4422,3181.62,53.4,16.968332999998612,121.72916699999834,1457,2526.73,485,635.07,37,19.84,Rice/Palay,1457,2421,2001,45.3,160,3.6,1129,1412,1694,2729,1014,24,44,258,377,8.5,1,9,11,1064,24.1,32.9,11,91.5,75.9
ISABELA,MACONACON,1ST,1579,546.82,49.8,17.389167000000374,122.23972199999902,482,540.25,3,4.25,37,2.32,Rice/Palay,482,1038,541,34.3,48,3,608,396,483,201,1047,97,49,131,210,13.3,0,0,2,394,25,30.5,0.2,86.7,75.0
ISABELA,MALLIG,5TH,9106,8082.67,50.2,17.211389000001443,121.61111099997585,3390,6956.26,649,1028.26,427,98.16,Rice/Palay,3390,5038,4068,44.7,742,8.1,2785,2482,3751,5580,322,400,90,946,1055,11.6,0,163,166,2247,24.7,37.2,7.1,88.4,75.3
ISABELA,NAGUILIAN,2ND,4871,9532.35,53.4,17.023056000002946,121.83499999998479,3341,3713.41,3305,5331.86,1743,487.07,Rice/Palay,3341,3151,1720,35.3,82,1.7,1323,1498,4248,1921,413,15,39,529,181,3.7,0,147,15,2932,60.2,68.6,67.9,96.3,39.8
ISABELA,PALANAN,2ND,5804,2901.66,52.8,17.0627780000028,122.42916699999667,2350,2274.98,584,588.15,682,38.53,Rice/Palay,2350,3947,1857,32,223,3.8,1732,1759,3846,1413,1276,54,36,1027,92,1.6,0,0,625,2176,37.5,40.5,10.1,98.4,62.5
ISABELA,QUEZON,5TH,5190,8485.01,51.6,17.31138899999816,121.6058330000089,2922,6685.71,813,1375.3,1099,422.47,Rice/Palay,2921,3128,2062,39.7,272,5.2,1589,1451,3094,1586,588,574,56,283,1187,22.9,26,230,102,1896,36.5,56.3,15.7,77.1,63.5
ISABELA,QUIRINO,5TH,7397,5534.86,51.9,17.152778000000698,121.75527800001663,2857,4612.82,751,899.06,549,22.98,Rice/Palay,2857,4485,2912,39.4,348,4.7,2247,2067,3013,3925,945,11,28,750,368,5,62,275,21,2102,28.4,38.6,10.2,95.0,71.6
ISABELA,RAMON,3RD,10466,8868.18,50.8,16.78138900000263,121.53499999998742,4378,8505.53,136,229.14,762,133.52,Rice/Palay,4377,5800,4666,44.6,686,6.6,3210,2841,4592,6373,2743,442,187,533,671,6.4,0,41,29,2779,26.6,41.8,1.3,93.6,73.4
ISABELA,REINA MERCEDES,2ND,5179,3210.97,53.7,16.987500000001933,121.81861099999307,1248,1352.32,1516,1684.54,1424,174.11,Corn,1516,2869,2310,44.6,150,2.9,1476,1561,2314,2605,864,519,39,396,172,3.3,0,5,67,1001,19.3,24.1,29.3,96.7,80.7
ISABELA,ROXAS,5TH,10587,9155.81,51,17.12166699999955,121.61972200001156,3941,7291.42,1410,1762.08,333,102.32,Rice/Palay,3941,6268,4319,40.8,694,6.6,3112,2830,5256,5348,317,261,73,791,425,4,3,33,12,2814,26.6,37.2,13.3,96.0,73.4
ISABELA,SAN AGUSTIN,4TH,5062,9182.14,54.8,16.506667000000927,121.74750000003044,2620,2533.1,3243,5589.91,5771,1059.14,Corn,3239,3240,1822,36,129,2.5,1259,1682,3879,2808,694,202,147,449,394,7.8,0,5,1444,3173,62.7,51.8,64.1,92.2,37.3
ISABELA,SAN GUILLERMO,6TH,6467,11049.59,47.5,16.71972200000295,121.80861099997219,3092,1936.41,4126,6582.03,6087,2531.15,Corn,4126,3825,2642,40.9,951,14.7,2311,1153,4442,4006,474,499,88,1315,2449,37.9,0,92,26,2860,44.2,47.8,63.8,62.1,55.8
ISABELA,SAN ISIDRO,6TH,5634,4719.15,52.2,16.734167000001175,121.63361100001445,2874,4577.8,85,110.06,335,31.3,Rice/Palay,2874,3217,2417,42.9,318,5.6,1539,1710,2957,2727,362,51,67,398,584,10.4,1,65,52,2013,35.7,51,1.5,89.6,64.3
ISABELA,SAN MANUEL,5TH,7305,6101.51,53.1,17.022221999999683,121.63166700000579,2691,5737.8,195,344.95,862,18.74,Rice/Palay,2690,3973,3332,45.6,346,4.7,1995,2182,2875,4397,129,38,70,737,515,7,0,298,19,1758,24.1,36.8,2.7,93.0,75.9
ISABELA,SAN MARIANO,2ND,17725,24603.12,47.7,16.983611000002412,122.01277799998171,4785,3133.95,9241,16045.62,8272,5423.58,Corn,9236,10227,7498,42.3,2122,12,6360,3454,9707,6230,1930,1703,179,4244,1381,7.8,0,569,73,4349,24.5,27,52.1,92.2,75.5
ISABELA,SAN MATEO,3RD,8678,9439.27,55,16.881110999997166,121.58777799999646,5001,8927.23,219,309.16,2474,200.36,Rice/Palay,5000,5047,3631,41.8,676,7.8,1773,3150,5148,2655,1451,44,111,403,1310,15.1,0,237,134,3502,40.4,57.6,2.5,84.9,59.6
ISABELA,SAN PABLO,1ST,6224,6645.49,50.5,17.448332999998108,121.79527799997742,1660,1480.86,3729,5137.63,1016,27,Corn,3729,4053,2171,34.9,427,6.9,2035,1615,4156,3719,815,3542,53,1034,292,4.7,0,7,52,1269,20.4,26.7,59.9,95.3,79.6
ISABELA,SANTA MARIA,1ST,6526,4244.9,48.8,17.47138900000032,121.7524999999747,1460,1978.44,1531,1986.86,1378,279.6,Corn,1531,3374,3152,48.3,1073,16.4,2043,1436,2130,3823,523,4423,100,1372,148,2.3,0,143,11,1135,17.4,22.4,23.5,97.7,82.6
ISABELA,SANTO TOMAS,1ST,6007,6755.99,53.6,17.399722000001294,121.76583299998285,2435,3633.24,2590,3079.83,1167,42.92,Corn,2590,3135,2872,47.8,181,3,1680,1922,4032,2241,340,1908,48,684,335,5.6,0,302,86,1965,32.7,40.5,43.1,94.4,67.3
ISABELA,TUMAUINI,1ST,11284,14180.71,50.6,17.273889000002338,121.80972200002168,4582,6144.54,5125,7902.77,1273,133.39,Corn,5125,6583,4701,41.7,802,7.1,3617,2874,7620,3808,1309,2783,107,1076,738,6.5,2,490,79,3612,32,40.6,45.4,93.5,68.0
NUEVA VIZCAYA,ALFONSO CASTANEDA,LONE,2226,1414.17,48.6,15.931900000000857,121.30839999999618,704,572.32,438,406.88,1006,435,Rice/Palay,704,1276,950,42.7,163,7.3,802,465,1290,765,258,835,52,384,261,11.7,0,384,16,581,26.1,31.6,19.7,88.3,73.9
NUEVA VIZCAYA,AMBAGUIO,LONE,4782,2829.3,46.2,16.57939999999945,121.05639999999721,1149,674.28,59,16.72,6378,2138.33,Tomato (kamatis),1243,2608,2174,45.5,617,12.9,2140,687,3428,1494,205,4419,48,1231,561,11.7,5,457,193,1134,23.7,24,1.2,88.3,76.3
NUEVA VIZCAYA,ARITAO,LONE,6636,5142.78,52.4,16.29722199999728,121.0338889999845,3583,4067.06,65,55.26,2198,1020.5,Rice/Palay,3582,3821,2815,42.4,477,7.2,1738,2133,4499,3719,414,963,156,455,1468,22.1,0,229,397,2627,39.6,54,1,77.9,60.4
NUEVA VIZCAYA,BAGABAG,LONE,6934,5849.22,52.9,16.604443999997574,121.25222200000587,2697,3566.74,1322,1690.01,2336,592.46,Rice/Palay,2697,3753,3181,45.9,675,9.7,1583,2303,3594,3190,1061,415,116,376,1687,24.3,42,279,119,1906,27.5,38.9,19.1,75.7,72.5
NUEVA VIZCAYA,BAMBANG,LONE,7835,6693.87,53.8,16.404100000004966,121.10229999998647,3804,4563.53,736,871.93,5178,1258.4,Rice/Palay,3776,4396,3439,43.9,493,6.3,2040,2525,4755,3181,504,1094,109,721,2060,26.3,0,441,287,3145,40.1,48.6,9.4,73.7,59.9
NUEVA VIZCAYA,BAYOMBONG Capital,LONE,4811,4655.72,52.8,16.48040000000036,121.14809999999265,2714,2896.68,947,844.13,3740,914.9,Rice/Palay,2692,2837,1974,41,282,5.9,1242,1547,3565,1582,629,979,38,437,1312,27.3,0,504,198,2250,46.8,56.4,19.7,72.7,53.2
NUEVA VIZCAYA,DIADI,LONE,4198,5295.72,50.9,16.660000000002373,121.36861100000948,955,668.33,2253,3343.17,5843,1284.23,Corn,2251,2380,1818,43.3,320,7.6,1481,956,2968,1674,345,1426,61,722,814,19.4,0,8,93,725,17.3,22.7,53.7,80.6,82.7
NUEVA VIZCAYA,DUPAX DEL NORTE,LONE,5335,5307.14,53.8,16.307499999998093,121.10194399999513,2542,2534.72,228,130.02,4220,2642.4,Rice/Palay,2537,3005,2330,43.7,199,3.7,1489,1730,3568,2464,355,1323,57,495,1712,32.1,0,717,66,1961,36.8,47.6,4.3,67.9,63.2
NUEVA VIZCAYA,DUPAX DEL SUR,LONE,5123,5430.39,50.6,16.284167000002512,121.09166699997931,2656,2256.98,25,20.4,5123,3153.01,Rice/Palay,2655,2989,2134,41.7,483,9.4,1595,1281,4035,2096,244,3050,106,689,2326,45.4,49,110,237,2312,45.1,51.8,0.5,54.6,54.9
NUEVA VIZCAYA,KASIBU,LONE,8887,10662.76,48.6,16.366600000003924,121.33130000003744,5128,3283.03,1834,1003.42,16537,6376.33,Rice/Palay,5127,4886,4001,45,654,7.4,3410,1721,7621,5125,633,7026,180,1912,3774,42.5,3,471,557,4835,54.4,57.7,20.6,57.5,45.6
NUEVA VIZCAYA,KAYAPA,LONE,8438,3941.31,48.9,16.493299999999383,120.94170000002242,1760,979.95,101,45.79,12591,2915.57,Chickens,2675,4844,3594,42.6,1001,11.9,3112,1770,6031,4373,207,7508,101,2204,2935,34.8,62,460,421,1364,16.2,20.9,1.2,65.2,83.8
NUEVA VIZCAYA,QUEZON,LONE,4412,5529.31,51.9,16.457800000001782,121.28549999999824,2052,1650.8,1772,2005.53,6177,1872.95,Rice/Palay,2048,2237,2175,49.3,188,4.3,1320,1244,3108,1725,680,1138,88,476,700,15.9,0,210,88,1772,40.2,46.5,40.2,84.1,59.8
NUEVA VIZCAYA,SANTA FE,LONE,3919,2936.06,48.6,16.189799999997767,120.87289999999254,1270,977.17,33,19.03,3697,1939.87,Rice/Palay,1268,2247,1672,42.7,460,11.7,1321,880,2954,2045,259,2823,59,923,1015,25.9,5,18,66,1126,28.7,32.4,0.8,74.1,71.3
NUEVA VIZCAYA,SOLANO,LONE,8305,5821.35,52.8,16.527100000003816,121.18250000001363,4196,4572.62,815,885.12,1679,363.63,Rice/Palay,4194,4772,3533,42.5,750,9,1999,2762,4779,4370,431,532,153,615,1759,21.2,2,106,91,3438,41.4,50.5,9.8,78.8,58.6
NUEVA VIZCAYA,VILLAVERDE,LONE,5302,3910.95,49.6,16.606666999999437,121.18277800001107,2256,2528.17,799,997.34,2755,385.43,Rice/Palay,2256,2784,2518,47.5,1076,20.3,1309,1312,2881,2499,393,714,47,353,1026,19.4,0,66,104,1954,36.9,42.5,15.1,80.6,63.1
QUIRINO,AGLIPAY,LONE,8195,9786.4,50.6,16.48888900000016,121.58722199995744,3584,3284.59,3281,4559.01,3645,1942.79,Rice/Palay,3584,4601,3594,43.9,609,7.4,2737,2148,4828,4446,909,2095,92,1087,989,12.1,0,136,276,3441,42,43.7,40,87.9,58.0
