,brgy_name,ADM4_PCODE,ADM4_REF,mun_name,ADM3_PCODE,prov_name,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM,corn_farmers
31,Banguian,PH0201501003,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.155364196,0.001158453,13.54751402,36
32,Calog Norte,PH0201501004,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.074942247,0.000126664,1.481687666,1
33,Calog Sur,PH0201501005,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.149920457,0.000737862,8.631511021,3
34,Canayun,PH0201501006,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.089885575,0.000450926,5.273797888,30
35,Centro (Pob.),PH0201501007,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.075774682,0.000313517,3.665663362,1
36,Dana-Ili,PH0201501008,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.095326657,0.000519252,6.071958936,18
37,Guiddam,PH0201501009,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142432855,0.001240706,14.51631763,6
38,Libertad,PH0201501010,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.1124113,0.000721104,8.436082713,34
39,Lucban,PH0201501011,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.121547703,0.000857454,10.03200795,9
40,Pinili,PH0201501012,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.072220943,0.00027337,3.197607984,0
41,San Agustin,PH0201501018,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.119057104,0.000649254,7.594768871,4
42,San Julian,PH0201501019,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.123583773,0.000574937,6.722394194,12
43,Santa Filomena,PH0201501013,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.0515987,0.000155405,1.817256739,3
44,Santa Rosa,PH0201501020,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.14178962,0.000948258,11.09193947,25
45,Santo Tomas,PH0201501014,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.101072734,0.000575624,6.730353717,72
46,Siguiran,PH0201501015,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.189060856,0.000833624,9.746188952,11
47,Simayung,PH0201501016,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.082600693,0.000340528,3.982962318,29
48,Sirit,PH0201501017,,Abulug,PH0201501,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.079757374,0.000280691,3.282587337,8
49,Abbeg,PH0201502001,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.106809888,0.00032322,3.792015775,3
50,Afusing Bato,PH0201502002,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.082597622,0.000252229,2.959010149,14
51,Afusing Daga,PH0201502003,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.155717831,0.000920545,10.79859383,39
52,Agani,PH0201502004,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.103118848,0.000369136,4.328740976,52
53,Baculod,PH0201502005,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.070967516,0.000292583,3.431362879,88
54,Baybayog,PH0201502006,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096542094,0.000483371,5.669386434,30
55,Cabuluan,PH0201502007,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.095176211,0.000560281,6.572933287,49
56,Calantac,PH0201502008,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.123867579,0.000746955,8.760453022,74
57,Carallangan,PH0201502009,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.095543493,0.000560495,6.572527475,33
58,Centro Norte (Pob.),PH0201502010,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05602732,0.000175051,2.052904571,25
59,Centro Sur (Pob.),PH0201502011,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094991872,0.000322481,3.782214539,0
60,Dalaoig,PH0201502012,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.22840037,0.002779506,32.58629254,83
61,Damurog,PH0201502013,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.107366877,0.000472578,5.543184644,34
62,Jurisdiction,PH0201502014,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.064805122,0.000140355,1.646297406,33
63,Malalatan,PH0201502015,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.13990261,0.00085149,9.987690004,41
64,Maraburab,PH0201502016,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.149201722,0.000867899,10.17679578,38
65,Masin,PH0201502017,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.107442371,0.000611787,7.174067653,48
66,Pagbangkeruan,PH0201502018,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.051197564,0.000107223,1.257639724,33
67,Pared,PH0201502019,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.070671881,0.000249187,2.922571322,31
68,Piggatan,PH0201502020,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.164493728,0.001333036,15.62829237,36
69,Pinopoc,PH0201502021,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.067046873,0.000283292,3.322344129,61
70,Pussian,PH0201502022,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.117313251,0.000708995,8.313118913,25
71,San Esteban,PH0201502023,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.122526405,0.000664793,7.795951403,51
72,Tamban,PH0201502024,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.142261233,0.001089882,12.78246402,50
73,Tupang,PH0201502025,,Alcala,PH0201502,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.065077232,0.000227168,2.664105601,20
74,Bessang,PH0201503001,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.113800428,0.000375995,4.402737444,6
75,Binobongan,PH0201503002,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.137141768,0.000760647,8.905693299,3
76,Bulo,PH0201503003,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.071880633,0.000245627,2.875098988,1
77,Burot,PH0201503004,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.09666089,0.000294622,3.449231975,10
78,Capagaran (Brigida),PH0201503005,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.123616697,0.00087577,10.25618941,10
79,Capalutan,PH0201503006,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.146566667,0.001359639,15.92562746,17
80,Capanickian Norte,PH0201503007,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.172777859,0.001664461,19.48762105,4
81,Capanickian Sur,PH0201503008,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.169004139,0.001232318,14.43010515,5
82,Cataratan,PH0201503009,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.190106337,0.001623041,18.9991925,13
83,Centro East (Pob.),PH0201503010,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.041241164,7.63586e-05,0.89392034,3
84,Centro West (Pob.),PH0201503011,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.066363201,0.000207493,2.429092678,2
85,Daan-Ili,PH0201503012,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.077174471,0.000312127,3.653766666,5
86,Dagupan,PH0201503013,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.082548234,0.000253014,2.962209271,9
87,Dalayap,PH0201503014,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.108402206,0.000537582,6.293508121,4
88,Gagaddangan,PH0201503015,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.059982319,0.000223072,2.611038792,4
89,Iringan,PH0201503016,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.249307381,0.002127045,24.91099789,26
90,Labben,PH0201503017,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.115046259,0.00059364,6.950777078,7
91,Maluyo,PH0201503018,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.187675994,0.000731845,8.569892667,31
92,Mapurao,PH0201503019,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.096926698,0.000395687,4.633907009,47
93,Matucay,PH0201503020,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.108541975,0.000656217,7.680454082,1
94,Nagattatan,PH0201503021,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.13025049,0.000632461,7.407589695,21
95,Pacac,PH0201503022,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.090916153,0.000377005,4.413188626,4
96,San Juan (Maguininango),PH0201503023,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.184218255,0.001270894,14.87508694,2
97,Silagan,PH0201503024,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.124168155,0.000746748,8.740131544,0
98,Tamboli,PH0201503025,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.106766514,0.000568217,6.650626675,2
99,Tubel,PH0201503026,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.132275555,0.000529953,6.203749782,9
100,Utan,PH0201503027,,Allacapan,PH0201503,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.193470059,0.001027542,12.03617377,19
101,Abolo,PH0201504001,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.093486294,0.000439691,5.158737276,15
102,Agguirit,PH0201504002,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.094572504,0.000473571,5.558003951,1
103,Alituntung,PH0201504003,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05366808,0.000153618,1.802267205,7
104,Annabuculan,PH0201504004,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.106185247,0.000497501,5.837579004,46
105,Annafatan,PH0201504005,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.15401418,0.000891072,10.45623121,31
106,Anquiray,PH0201504006,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.091341547,0.000425264,4.989483552,39
107,Babayuan,PH0201504007,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.068589741,0.000197205,2.313921672,19
108,Baccuit,PH0201504008,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.058392681,0.000180768,2.120563703,18
109,Bacring,PH0201504009,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.106576789,0.000639019,7.497681269,6
110,Baculud,PH0201504010,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.088695368,0.000348978,4.093707821,29
111,Balauini,PH0201504011,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.088416615,0.00027068,3.176526387,13
112,Bauan,PH0201504012,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.035953182,8.092862e-05,0.949402719,22
113,Bayabat,PH0201504013,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.089350087,0.000351345,4.122354177,9
114,Calamagui,PH0201504014,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.09634404,0.000467634,5.485932035,50
115,Calintaan,PH0201504015,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.049606742,0.00013086,1.535692872,6
116,Caratacat,PH0201504016,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.083260916,0.00043551,5.110896968,16
117,Casingsingan Norte,PH0201504017,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.077560728,0.000181881,2.134484569,16
118,Casingsingan Sur,PH0201504018,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.089354956,0.000225022,2.640881229,13
119,Catarauan,PH0201504019,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.056129504,0.000180382,2.116762133,19
120,Centro,PH0201504020,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.046201385,0.000121933,1.430521918,24
121,Concepcion,PH0201504021,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.078728644,0.000270832,3.177982794,17
122,Cordova,PH0201504022,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.070511154,0.000243939,2.863022367,17
123,Dadda,PH0201504023,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.209820061,0.001021159,11.97939787,66
124,Dafunganay,PH0201504024,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.113449077,0.000551125,6.465560459,5
125,Dugayung,PH0201504025,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.060541047,0.000149217,1.750387476,37
126,Estefania,PH0201504026,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.221712322,0.001179022,13.83541295,15
127,Gabut,PH0201504027,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.05929937,0.000168327,1.974601217,37
128,Gangauan,PH0201504028,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.211303571,0.001787913,20.97634637,23
129,Goran,PH0201504029,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.105242211,0.000413056,4.848166001,8
130,Jurisdiccion,PH0201504030,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.078159525,0.000207309,2.431738147,10
131,La Suerte,PH0201504031,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.13234303,0.000983024,11.53701402,13
132,Logung,PH0201504032,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.071915848,0.000278234,3.264239707,8
133,Magogod,PH0201504033,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.226067092,0.001926977,22.60368165,15
134,Manalo,PH0201504034,,Amulung,PH0201504,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,0.068284126,0.000233323,2.736769957,47
