fid,municipality,ADM3_PCODE,district,province,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,rice_area_2023,rice_yield_2023,rice_production_2023,corn_area_2023,corn_yield_2023,corn_production_2023,population,SliSaline,ModSaline,SevSaline,NonSaline,TotalSaline,%SalinORicArea,rice_production_2025,rice_area_2025,rice_yield_2025,corn_area_2025,corn_production_2025,corn_yield_2025,poverty_2018,poverty_2021,poverty_2023,stunting,underweight,obese,wasting,poor_rice_farmers,rice_mechanization_level,poor_corn_farmers,corn_mechanization_level,pest_disease_occurrence,asf_status,rpc_site,soil_fertility,irrigated_area,crva_index_rice,crva_index_corn,sensitivity_rice,sensitivity_corn,sensitivity_coconut,sensitivity_banana,sensitivity_hvc,hazard_index,hazard_typhoon,hazard_flood,hazard_drought,hazard_soil_erosion,hazard_landslide,hazard_swi,hazard_storm_surge,hazard_sea_level_rise,ac_index,ac_economic,ac_natural,ac_human,ac_physical,ac_social,ac_health,ac_anticipatory,ac_institutional
1,Basco (Capital),PH0200901,Batanes,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.337859398,0.002899488,33.4936102,,,,,,,9610,,,,,,,0.39,0.2,1.95,6.8,8.1,1.19117647058824,7,4.4,4,4.605263158,2.796052632,4.276315789,1.973684211,,,,,,,0,,,,,,,,,,,1.00 ,0.01 ,null,0.80 ,0.77 ,,0.12 ,0.35 ,,1.00 ,0.36 ,0.01 ,0.00 ,0.58 ,,0.9204,
77,Bayombong (Capital),PH0205005,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.486307621,0.01206178,142.5260345,6365.3,4.793376589,30511.28,1101.35,2.454280656,2703.022,66765,,,,,,,25934.58,5596.54,4.63403817358582,746.4,4153.2,5.56430868167203,6.8,6.2,4.7,4.525862069,2.23354232,2.370689655,1.704545455,,3.42,,3.832,,,0,,,,,,,,,,,0.34 ,0.45 ,0.44 ,0.64 ,0.46 ,,,,,,0.04 ,0.72 ,0.92 ,0.53 ,,0.9147,
39,Benito Soliven,PH0203104,2nd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.76576912,0.014991498,176.7597346,3996,4.497366366,17971.476,13205,3.891412344,51386.1,32618,,,,,,,17556.82,4044,4.3414490603363,14270.5,80927.8,5.67098559966364,19.7,20.5,12.6,8.235294118,4.803921569,5.980392157,4.607843137,,4.01,,2.305,,,0,,,,,,,,,,,0.33 ,0.11 ,0.15 ,1.00 ,0.69 ,0.00 ,0.00 ,0.00 ,,0.11 ,0.73 ,0.00 ,0.00 ,,,,0
14,Buguey,PH0201508,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.645585276,0.011005534,128.8278914,11628.616,5.99150997,69672.9687,1107,4.330948509,4794.36,32764,3559.2,2267.89,335.22,10287.69,6162.31,52.9926347211052,55878.4,9650.36,5.79029176113637,1374.1,5664.3,4.12218906920894,15.3,11.8,9.3,2.837902838,1.683501684,0.240500241,0.577200577,,2.777,,1.45,,,0,,,,,,,,,,,0.51 ,0.70 ,0.04 ,0.14 ,0.10 ,,0.44 ,0.51 ,,0.24 ,0.94 ,0.41 ,0.22 ,0.86 ,,0.63,
40,Burgos,PH0203105,5th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.40631962,0.006559631,77.27786584,9093.2,5.610057076,51013.371,2140.7,5.202591816,11137.1883,25192,,,,,,,55859.26,9998.19,5.58693723563965,1508.6,6595.7,4.37206681691635,18.2,14,16.4,6.302521008,3.291316527,6.722689076,2.801120448,,9.65,,1.677,,,0,,,,,,,,,,,0.20 ,0.41 ,0.01 ,0.03 ,0.18 ,0.00 ,0.00 ,0.00 ,,0.54 ,0.97 ,0.10 ,0.18 ,,,,0.551282
41,Cabagan,PH0203106,1st District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.313291368,0.02616605,307.7320333,3743.16,4.646603164,17392.9791,9684.49,4.920479757,47652.337,56282,,,,,,,9689.39,1842.2,5.25968407339051,10297.6,51368,4.9883467992542,14.7,16.4,15,3.615627275,1.989808299,3.68842514,1.601553021,,4.78,,3.479,,,0,,,,,,,,,,,0.64 ,0.17 ,0.11 ,0.57 ,0.56 ,0.00 ,0.00 ,0.00 ,,0.46 ,0.68 ,0.20 ,0.63 ,,,,0.782051
89,Cabarroguis (Capital),PH0205702,Quirino,Quirino,PH02057,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.722392757,0.015999039,189.0828461,2746.42,5.229284086,14361.8104,1837.5,2.797681633,5140.74,31406,,,,,,,17248.15,3580.06,4.81783824852098,14777.2,14777.2,1,9.3,7.4,7,5.590062112,2.449965493,0.793650794,0.345065562,,0.56,,0.4,,,0,,,,,,,,,,,0.19 ,0.32 ,0.74 ,0.62 ,0.76 ,,,,,1.00 ,0.01 ,1.00 ,0.28 ,0.00 ,,0.6321,
42,Cabatuan,PH0203107,3rd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.322827225,0.005422671,63.92629045,10522.56,6.541650701,68834.912,1219.67,6.231906991,7600.87,41781,,,,,,,57100.35,10611.56,5.38095718254432,1119,4461.8,3.98731009830206,11,11.1,9.7,9.306056959,6.899318091,5.655836342,2.888086643,,4.02,,2.99,,,0,,,,,,,,,,,0.14 ,0.38 ,0.04 ,0.00 ,0.22 ,0.00 ,0.00 ,0.00 ,,0.62 ,0.53 ,0.33 ,0.34 ,,,,0.551282
15,Calayan,PH0201509,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,2.562273928,0.043181014,502.7155791,2016.362,4.646120587,9368.261,328,3.52847561,1157.34,17470,,,,,,,6590.35,1519.45,4.33732600612064,612.2,2108.8,3.44462593923554,42.2,22.6,9.9,4.651162791,4.293381038,1.162790698,1.699463327,,2.817,,2.546,,,0,,,,,,,,,,,0.60 ,0.00 ,0.25 ,1.00 ,0.80 ,,0.05 ,0.04 ,,0.00 ,0.05 ,0.00 ,0.34 ,0.83 ,,0.58,
16,Camalaniugan,PH0201510,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.453917227,0.007621663,89.2038413,7983.21,6.237670827,49796.63612,301.87,5.120522079,1545.732,27212,1587.44,23.08,,6039.49,1610.52,20.17,46210.93,8050.71,5.73998193948111,462.3,1365.7,2.95414233181917,13.5,10,8.5,0,0.257400257,2.123552124,0.707850708,,2.89,,1.98,,,0,,,,,,,,,,,0.63 ,1.00 ,0.00 ,0.14 ,0.08 ,,0.31 ,0.46 ,,0.30 ,0.37 ,0.39 ,0.37 ,0.70 ,,0.31,
43,City of Cauayan,PH0203108,6th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.109881186,0.028551493,336.6830954,20849.62,6.290433685,131153.152,22685.4,6.483931956,147090.59,137711,,,,,,,128247.06,20980,6.11282459485224,23074.6,129783.6,5.62452220190166,12.6,14.4,11.7,,,,,,4.175,,0.416,,,0,,,,,,,,,,,0.22 ,0.27 ,0.21 ,0.50 ,0.40 ,0.00 ,0.00 ,0.00 ,,0.51 ,0.78 ,0.62 ,0.86 ,,,,0.782051
70,City of Santiago,PH0203135,4th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.648320736,0.012861181,151.8165393,16328,5.916581651,96605.9452,220.6,5.13961922,1133.8,139904,,,,,,,95157.79,16343.53,5.82235233147307,616.9,3326.3,5.39195979899498,12.3,12.8,9.7,,,,,,4.319,,,,,0,,,,,,,,,,,0.24 ,0.19 ,0.11 ,0.20 ,0.27 ,0.00 ,0.00 ,0.00 ,,0.76 ,0.59 ,0.41 ,0.53 ,,,,0.551282
17,Claveria,PH0201511,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.595722276,0.011036091,128.943013,7226.64,5.813620853,42012.945,0,,0,31030,1584.2,897.86,,16997.94,2482.06,34.35,26283.98,6044.3,4.34855649123968,,,,11.1,6.5,5.6,0.954979536,0.68212824,1.02319236,0.409276944,,4.124,,0,,,0,,,,,,,,,,,0.12 ,0.50 ,0.12 ,0.56 ,0.44 ,,0.05 ,0.13 ,,0.73 ,0.39 ,0.37 ,0.74 ,0.88 ,,0.89,
44,Cordon,PH0203109,4th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.771092001,0.019025418,224.5290979,9274.51,5.575273475,51707.9296,6030.14,3.552803086,21423.9,45081,,,,,,,53108.92,9699.2,5.47559798746288,6125.5,20775,3.39155987266346,18.9,13.6,13,8.211224772,4.423555433,4.423555433,3.096488803,,4.103,,2.636,,,0,,,,,,,,,,,0.03 ,0.11 ,0.19 ,0.91 ,0.57 ,0.00 ,0.00 ,0.00 ,,0.49 ,0.76 ,0.13 ,0.47 ,,,,0.551282
53,Delfin Albano (Magsaysay),PH0203118,1st District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,Magsaysay,0.575646182,0.015116513,177.8917848,11433.65,5.351761686,61190.17,2710,5.952866215,16132.26744,27821,,,,,,,68215.73,11776.45,5.79255463233827,2717,15505.1,5.7066985645933,17,11.9,10.9,8.377270064,4.569420035,5.565319274,1.523140012,,4.559,,2.019,,,1,,,,,,,,,,,0.32 ,0.16 ,0.04 ,0.40 ,0.30 ,0.00 ,0.00 ,0.00 ,,0.49 ,0.54 ,0.09 ,0.24 ,,,,0.551282
78,Diadi,PH0205006,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.733281865,0.017843314,210.6662658,481.67,4.63401499,2232.066,4544.2,4.050376744,18405.722,20449,,,,,,,1674.24,501.4,3.33913043478261,4434.1,21018.5,4.74019530457139,14.3,13,8.5,1.188118812,2.244224422,0.462046205,0.396039604,,4.205,,1.989,,,0,,,,,,,,,,,0.66 ,0.01 ,1.00 ,0.83 ,0.76 ,,,,,,0.00 ,0.33 ,,0.00 ,,0.5949,
90,Diffun,PH0205703,Quirino,Quirino,PH02057,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.805358635,0.024370345,287.861037,7126.86,4.888910909,34842.5836,3825,5.025631373,19223.04,57419,,,,,,,35396.24,7266.26,4.87131481670075,46449.1,46449.1,1,10.6,10.1,9,0.702662722,0.221893491,0.036982249,0.018491124,,0.61,,0.26,,,1,,,,,,,,,,,0.00 ,0.04 ,0.93 ,0.76 ,0.62 ,,,,,0.32 ,0.00 ,0.17 ,0.44 ,0.92 ,,0.5101,
45,Dinapigue,PH0203110,4th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.555149875,0.080743849,953.0752208,375.85,4.614340827,1734.3,39.5,6.29,248.455,5173,,,,,,,1584.43,384.25,4.12343526350033,,,,44.8,18.9,19.6,13.63636364,4.848484848,3.484848485,1.666666667,,3.55,,1.218,,,1,,,,,,,,,,,0.75 ,0.02 ,0.26 ,0.94 ,1.00 ,0.00 ,0.19 ,0.13 ,,0.35 ,0.86 ,0.19 ,0.06 ,,,,0
46,Divilacan,PH0203111,1st District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.441068986,0.044907592,528.5514346,1255.21,4.664996933,5855.5508,,,,6667,,,,,,,3642.97,937.08,3.88757630084945,,,,47.6,24.6,17.2,31.69934641,14.05228758,11.11111111,5.22875817,,4.012,,2.265,,,0,,,,,,,,,,,0.92 ,0.06 ,0.43 ,0.83 ,0.66 ,0.00 ,1.00 ,1.00 ,,0.05 ,0.47 ,0.29 ,0.01 ,,,,0.333333
79,Dupax del Norte,PH0205007,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.168909758,0.025191699,298.0772812,5199.8,4.881769645,25384.2258,96.75,4.865891473,470.775,29837,,,,,,,25194.46,5204.8,4.84062019674147,168.4,732.4,4.34916864608076,14.2,10,9.1,,,,,,3.701,,2.763,,,0,,,,,,,,,,,1.00 ,0.16 ,0.31 ,1.00 ,0.83 ,,,,,,0.25 ,0.35 ,0.94 ,0.04 ,,0.9159,
80,Dupax del Sur,PH0205008,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.197624982,0.034829139,412.2870561,3559.4,5.694977159,20270.7017,0,,0,20216,,,,,,,15714.04,3102.7,5.06463402842685,19.4,74.7,3.85051546391753,16,11,7.8,,,,,,3.31,,2.123,,,1,,,,,,,,,,,0.76 ,0.08 ,0.18 ,1.00 ,0.94 ,,,,,,0.48 ,0.02 ,0.16 ,0.23 ,,0.8665,
47,Echague,PH0203112,6th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.333392501,0.037594555,443.8562636,12665.53,4.355598621,55165.965,20609.47,4.890200961,100784.45,84136,,,,,,,57999.75,13114,4.42273524477657,16175.4,71208.7,4.40228371477676,15,13.4,11.4,6.43207856,4.337152209,2.651391162,2.487725041,,4.46,,2,,,0,,,,,,,,,,,0.47 ,0.10 ,0.33 ,0.68 ,0.60 ,0.00 ,0.00 ,0.00 ,,0.51 ,0.38 ,0.12 ,0.48 ,,,,0.551282
18,Enrile,PH0201512,3rd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.567302828,0.012975199,152.4656818,7880.286,5.475167361,43145.8847,3323,4.785434848,15902,40885,,,,,,,34608.68,7099.4,4.87487393300842,3792,15819.2,4.17172995780591,10.2,11.1,9.7,3.611836379,2.132288947,2.001740644,0.348128808,,5.12,,3,,,0,,,,,,,,,,,0.69 ,0.50 ,0.06 ,0.42 ,0.44 ,,0.00 ,0.00 ,,0.15 ,0.50 ,0.38 ,0.35 ,0.19 ,,0.51,
48,Gamu,PH0203113,2nd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.512887323,0.008203525,96.63866894,8815.85,5.080646846,44790.2205,2784.6,4.987481146,13888.14,31108,,,,,,,42446.63,8908.17,4.76491018918588,2570.9,13167.1,5.12159166050799,15.3,13.9,12.2,10.15169195,3.383897316,10.32672112,4.200700117,,4.02,,3.03,,,0,,,,,,,,,,,0.31 ,0.30 ,0.00 ,0.34 ,0.25 ,0.00 ,0.00 ,0.00 ,,0.51 ,0.54 ,0.13 ,0.54 ,,,,0.551282
19,Gattaran,PH0201513,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.525682432,0.054527041,638.9586539,13957.88,5.335172426,74467.6965,13359.49,4.309047726,57566.68,59423,,,,,,,73578.32,14037.88,5.24141252097895,11282.3,52399.9,4.644434202,16.7,13.6,9.1,7.277121375,3.947368421,2.68528464,1.34264232,,3.11,,0.712,,,0,,,,,,,,,,,0.81 ,0.20 ,0.60 ,0.65 ,0.84 ,,0.01 ,0.07 ,,0.35 ,0.74 ,0.24 ,0.28 ,0.81 ,,0.85,
20,Gonzaga,PH0201514,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.155527395,0.045061605,527.4567587,8203.085,5.390514355,44218.84745,2988.5,5.651840388,16890.525,42804,401.28,27.78,,56313.94,429.06,5.23,37677.33,7123.33,5.28928605020405,4139.3,15803.2,3.81784359674341,12.2,10.6,8,5.076142132,2.683103698,1.196519217,0.725163162,,2.487,,1.01,,,0,,,,,,,,,,,1.00 ,0.20 ,0.29 ,0.74 ,0.72 ,,0.16 ,0.09 ,,0.54 ,0.69 ,0.22 ,0.12 ,0.95 ,,0.62,
