dbSoilAnaliysis.Province,Ø,dbSoilAnaliysis.Latitude,dbSoilAnaliysis.Longtitude
Cagayan,,17.8076,121.4601
Cagayan,,17.8078,121.603
Cagayan,,17.8079,121.597
Cagayan,,121.602,121.597
Cagayan,,17.808,121.597
Cagayan,,121.728,121.597
Cagayan,,121.731,121.597
Cagayan,,17.8081,121.602
Cagayan,,121.731,121.602
Cagayan,,17.8083,121.732
Cagayan,,17.8084,121.596
Cagayan,,121.602,121.596
Cagayan,,17.8086,121.599
Cagayan,,121.6,121.599
Cagayan,,121.601,121.599
Cagayan,,121.728,121.599
Cagayan,,17.8087,121.73
Cagayan,,121.732,121.73
Cagayan,,17.8088,121.6526
Cagayan,,17.8089,121.728
Cagayan,,17.809,121.731
Cagayan,,17.8092,121.73
Cagayan,,17.8093,121.73
Cagayan,,17.8094,121.598
Cagayan,,121.603,121.598
Cagayan,,17.8096,121.597
Cagayan,,121.73,121.597
Cagayan,,17.8097,121.4431
Cagayan,,121.6,121.4431
Cagayan,,17.8098,121.7278
Cagayan,,121.73,121.7278
Cagayan,,17.8101,121.603
Cagayan,,17.8102,121.729
Cagayan,,17.8103,121.4201
Cagayan,,121.595,121.4201
Cagayan,,17.8104,121.73
Cagayan,,17.8106,121.602
Cagayan,,121.604,121.602
Cagayan,,121.73,121.602
Cagayan,,17.8108,121.599
Cagayan,,17.8109,121.595
Cagayan,,17.8113,121.601
Cagayan,,17.8114,121.598
Cagayan,,17.8116,121.73
Cagayan,,17.8117,121.599
Cagayan,,17.8118,121.601
Cagayan,,121.73,121.601
Cagayan,,121.731,121.601
Cagayan,,17.8119,121.596
Cagayan,,17.812,121.602
Cagayan,,121.73,121.602
Cagayan,,17.8121,121.604
Cagayan,,17.8122,121.601
Cagayan,,17.8123,121.733
Cagayan,,17.8125,121.596
Cagayan,,17.8126,121.603
Cagayan,,17.8127,121.601
Cagayan,,121.73,121.601
Cagayan,,17.8128,121.599
Cagayan,,121.604,121.599
Cagayan,,17.813,121.602
Cagayan,,17.8131,121.604
Cagayan,,17.8132,121.595
Cagayan,,17.8133,121.597
Cagayan,,121.598,121.597
Cagayan,,17.8134,121.597
Cagayan,,121.599,121.597
Cagayan,,121.601,121.597
Cagayan,,17.8135,121.6
Cagayan,,17.8137,121.602
Cagayan,,121.677,121.602
Cagayan,,17.814,121.597
Cagayan,,17.8142,121.601
Cagayan,,121.603,121.601
Cagayan,,17.8143,121.595
Cagayan,,121.599,121.595
Cagayan,,17.8144,121.598
Cagayan,,17.8147,121.602
Cagayan,,17.815,121.601
Cagayan,,121.7524,121.601
Cagayan,,17.8154,121.598
Cagayan,,121.599,121.598
Cagayan,,17.8155,121.6
Cagayan,,17.8156,121.601
Cagayan,,17.8158,121.603
Cagayan,,121.604,121.603
Cagayan,,17.8159,121.601
Cagayan,,121.602,121.601
Cagayan,,17.816,121.599
Cagayan,,121.6,121.599
Cagayan,,17.8162,121.3457
Cagayan,,121.601,121.3457
Cagayan,,17.8163,121.3649
Cagayan,,17.8167,121.597
Cagayan,,121.598,121.597
Cagayan,,121.599,121.597
Cagayan,,17.8169,121.601
Cagayan,,121.602,121.601
Cagayan,,17.8175,121.7057
Cagayan,,17.8179,121.598
Cagayan,,121.599,121.598
Cagayan,,121.6,121.598
Cagayan,,121.601,121.598
Cagayan,,17.8181,121.602
Cagayan,,17.819,121.7276
Cagayan,,17.8194,121.476
Cagayan,,17.8196,121.7013
Cagayan,,17.8197,121.4672
Cagayan,,17.8199,121.3791
Cagayan,,17.8202,121.509
Cagayan,,17.823,121.7143
Cagayan,,17.8236,121.6454
Cagayan,,17.824,121.7258
Cagayan,,17.8246,121.667
Cagayan,,17.8247,121.491
Cagayan,,17.8248,121.593
Cagayan,,17.8257,121.3921
Cagayan,,17.8259,121.6774
Cagayan,,17.8261,121.6369
Cagayan,,17.8266,121.7509
Cagayan,,121.751,121.7509
Cagayan,,17.8284,121.683
Cagayan,,17.8332,121.5969
Cagayan,,121.597,121.5969
Cagayan,,17.8339,121.3298
Cagayan,,121.616,121.3298
Cagayan,,17.8361,121.6769
Cagayan,,17.8362,121.5564
Cagayan,,17.8364,121.928
Cagayan,,17.837,121.722
Cagayan,,121.7224,121.722
Cagayan,,17.8393,121.6898
Cagayan,,17.8404,121.557
Cagayan,,17.840699999999998,121.3424
Cagayan,,17.8408,121.4986
Cagayan,,17.8409,121.4534
Cagayan,,121.7018,121.4534
Cagayan,,17.8436,121.6599
Cagayan,,17.8444,121.74
Cagayan,,17.8455,121.6445
Cagayan,,121.7224,121.6445
Cagayan,,17.846,121.6092
Cagayan,,17.8466,121.6468
Cagayan,,17.8475,121.3446
Cagayan,,17.8477,121.5456
Cagayan,,17.85,121.577
Cagayan,,17.8505,121.6267
Cagayan,,17.8559,121.7338
Cagayan,,121.734,121.7338
Cagayan,,17.8565,121.758
Cagayan,,17.8573,121.574
Cagayan,,17.8581,121.6982
Cagayan,,17.8582,121.724
Cagayan,,17.8583,121.3727
Cagayan,,17.8588,121.721
Cagayan,,17.8594,121.721
Cagayan,,17.8596,121.6739
Cagayan,,121.724,121.6739
Cagayan,,17.8599,121.721
Cagayan,,17.86,121.723
Cagayan,,17.8601,121.723
Cagayan,,17.8605,121.722
Cagayan,,17.8607,121.72
Cagayan,,121.721,121.72
Cagayan,,17.8608,121.719
Cagayan,,17.8611,121.72
Cagayan,,121.722,121.72
Cagayan,,17.8612,121.72
Cagayan,,17.8613,121.72
Cagayan,,121.723,121.72
Cagayan,,121.726,121.72
Cagayan,,17.8614,121.721
Cagayan,,121.722,121.721
Cagayan,,17.8615,121.724
Cagayan,,121.725,121.724
Cagayan,,17.8618,121.721
Cagayan,,17.8619,121.573
Cagayan,,17.8621,121.725
Cagayan,,121.726,121.725
Cagayan,,17.8623,121.722
Cagayan,,17.8624,121.572
Cagayan,,121.724,121.572
Cagayan,,17.8626,121.723
Cagayan,,121.725,121.723
Cagayan,,17.863,121.721
Cagayan,,17.8632,121.573
Cagayan,,17.8634,121.718
Cagayan,,121.719,121.718
Cagayan,,17.8635,121.794
Cagayan,,17.8638,121.719
Cagayan,,17.8639,121.72
Cagayan,,17.864,121.721
Cagayan,,17.8642,121.716
Cagayan,,121.722,121.716
Cagayan,,17.8643,121.719
Cagayan,,17.8644,121.719
Cagayan,,17.8645,121.715
Cagayan,,17.8647,121.721
Cagayan,,121.724,121.721
Cagayan,,17.8648,121.721
Cagayan,,17.8649,121.721
Cagayan,,121.722,121.721
Cagayan,,17.865,121.723
Cagayan,,17.8653,121.715
Cagayan,,121.9826,121.715
Cagayan,,17.8658,121.711
Cagayan,,121.712,121.711
Cagayan,,17.8661,121.714
Cagayan,,17.8662,121.722
Cagayan,,17.8663,121.719
Cagayan,,121.726,121.719
Cagayan,,17.8664,121.712
Cagayan,,17.8665,121.718
Cagayan,,121.719,121.718
Cagayan,,17.8666,121.714
Cagayan,,121.72,121.714
Cagayan,,17.8667,121.714
Cagayan,,17.8668,121.711
Cagayan,,17.8669,121.717
Cagayan,,17.8671,121.714
Cagayan,,17.8672,121.719
Cagayan,,17.8673,121.715
Cagayan,,17.8674,121.722
Cagayan,,17.8675,121.719
Cagayan,,17.8676,121.6656
Cagayan,,121.713,121.6656
Cagayan,,17.8677,121.722
Cagayan,,17.8678,121.713
Cagayan,,121.717,121.713
Cagayan,,121.718,121.713
Cagayan,,121.721,121.713
Cagayan,,17.8679,121.719
Cagayan,,17.868,121.713
Cagayan,,121.717,121.713
Cagayan,,17.8682,121.716
Cagayan,,121.72,121.716
Cagayan,,17.8683,121.691
Cagayan,,121.715,121.691
Cagayan,,121.716,121.691
Cagayan,,121.719,121.691
Cagayan,,17.8684,121.713
Cagayan,,17.8685,121.714
Cagayan,,17.8686,121.721
Cagayan,,121.722,121.721
Cagayan,,17.8689,121.715
Cagayan,,121.719,121.715
Cagayan,,121.72,121.715
Cagayan,,17.869,121.712
Cagayan,,121.722,121.712
Cagayan,,121.893,121.712
Cagayan,,121.8933,121.712
Cagayan,,17.8691,121.712
Cagayan,,121.718,121.712
Cagayan,,17.8692,121.719
Cagayan,,121.723,121.719
Cagayan,,17.8693,121.722
Cagayan,,17.8694,121.6953
Cagayan,,17.8696,121.713
Cagayan,,17.8697,121.723
Cagayan,,17.8701,121.72
Cagayan,,17.8702,121.5789
Cagayan,,121.722,121.5789
Cagayan,,17.8704,121.713
Cagayan,,121.715,121.713
Cagayan,,121.717,121.713
Cagayan,,121.722,121.713
Cagayan,,17.8706,121.711
Cagayan,,121.712,121.711
Cagayan,,121.713,121.711
Cagayan,,121.714,121.711
Cagayan,,121.719,121.711
Cagayan,,17.8709,121.711
Cagayan,,121.722,121.711
Cagayan,,17.8711,121.712
Cagayan,,121.714,121.712
Cagayan,,17.8713,121.713
Cagayan,,17.8715,121.713
Cagayan,,121.719,121.713
Cagayan,,17.8717,121.748
Cagayan,,17.8718,121.713
Cagayan,,17.872,121.711
Cagayan,,121.712,121.711
Cagayan,,17.873,121.713
Cagayan,,17.8737,121.7224
Cagayan,,17.876,121.6357
Cagayan,,17.8775,121.6891
Cagayan,,17.878,121.5889
Cagayan,,17.8787,121.354
Cagayan,,17.8788,121.6654
Cagayan,,17.8809,121.4873
Cagayan,,17.883,121.6846
Cagayan,,17.8873,121.7053
Cagayan,,17.8895,121.6403
Cagayan,,17.8949,121.9801
Cagayan,,17.8955,121.6526
Cagayan,,17.8968,121.7252
Cagayan,,17.8982,121.7628
Cagayan,,17.8998,121.6844
Cagayan,,17.9001,121.8509
Cagayan,,17.9006,121.6591
Cagayan,,17.90483,121.64099
Cagayan,,17.907,121.6707
Cagayan,,17.9094,121.6996
Cagayan,,17.9135,121.7007
Cagayan,,17.9151,121.717
Cagayan,,17.9152,121.6718
Cagayan,,17.9169,121.7522
Cagayan,,121.7705,121.7522
Cagayan,,17.917,121.7706
Cagayan,,17.9171,121.7707
Cagayan,,17.9172,121.7708
Cagayan,,17.9173,121.7709
Cagayan,,17.9174,121.771
Cagayan,,17.9175,121.7711
Cagayan,,17.9176,121.7712
Cagayan,,17.9177,121.7713
Cagayan,,17.9178,121.7714
Cagayan,,17.9179,121.7715
Cagayan,,17.918,121.7716
Cagayan,,17.9181,121.7717
Cagayan,,17.9182,121.7718
Cagayan,,17.9183,121.7719
Cagayan,,17.9184,121.772
Cagayan,,17.9185,121.7721
Cagayan,,17.9186,121.7722
Cagayan,,17.9187,121.7723
Cagayan,,17.9188,121.7724
Cagayan,,17.9189,121.7725
Cagayan,,17.9193,121.8477
Cagayan,,17.9226,121.916
Cagayan,,17.9245,121.69
Cagayan,,17.9266,121.9421
Cagayan,,17.9277,121.7
Cagayan,,17.9342,121.7707
Cagayan,,17.9373,121.3842
Cagayan,,17.9437,121.7562
Cagayan,,17.9452,121.748
Cagayan,,17.9456,121.7801
Cagayan,,17.9457,121.919
Cagayan,,17.9464,121.6507
Cagayan,,17.9528,121.9507
Cagayan,,17.9592,121.6456
Cagayan,,17.9611,121.6603
Cagayan,,17.9685,121.762
Cagayan,,17.9787,121.7239
Cagayan,,17.979,121.7989
Cagayan,,17.9899,121.581
Cagayan,,121.5812,121.581
Cagayan,,17.991,121.565
Cagayan,,121.597,121.565
Cagayan,,17.9914,121.565
Cagayan,,17.9918,121.565
Cagayan,,17.9919,121.8624
Cagayan,,17.9937,121.566
Cagayan,,17.9939,121.568
Cagayan,,17.9974,121.568
Cagayan,,17.9996,121.568
Cagayan,,17.9999,121.568
Cagayan,,18.0004,121.568
Cagayan,,18.0009,121.57
Cagayan,,18.0021,121.7822
Cagayan,,18.003,121.9141
Cagayan,,18.0056,121.572
Cagayan,,18.0057,121.574
Cagayan,,18.0088,121.586
Cagayan,,18.0113,121.574
Cagayan,,18.0114,121.568
Cagayan,,18.0117,121.576
Cagayan,,18.0121,121.575
Cagayan,,18.0177,121.9739
Cagayan,,18.0182,121.5484
Cagayan,,18.0195,121.3999
