province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
CAGAYAN,ALCALA,Other Fish,27,2.36
CAGAYAN,ALCALA,Other fruit-bearing trees and vines,2,1.25
CAGAYAN,ALCALA,Other fruit-bearing vegetables,30,11.96
CAGAYAN,ALCALA,Other industrial crops,4,3.5
CAGAYAN,ALCALA,Other leafy vegetables,14,3.63
CAGAYAN,ALCALA,Other leguminous plants,2,0.75
CAGAYAN,ALCALA,Other temporary crops not reported elsewhere,1,5.05
CAGAYAN,ALCALA,Peanuts,3,2.25
CAGAYAN,ALCALA,Pigs or swine,76,0
CAGAYAN,ALCALA,Rice/Palay,4900,4772.11
CAGAYAN,ALCALA,Rubber,1,2
CAGAYAN,ALCALA,Sheep,5,0
CAGAYAN,ALCALA,Tilapia,29,8.11
CAGAYAN,ALCALA,Tobacco (native),4,2.05
CAGAYAN,ALCALA,Turkeys,9,0
CAGAYAN,ALCALA,Water melon,2,1
CAGAYAN,ALLACAPAN,Ampalaya,3,0.6
CAGAYAN,ALLACAPAN,Avocado,3,1.65
CAGAYAN,ALLACAPAN,Banana,911,990.38
CAGAYAN,ALLACAPAN,Beans - dry,1,0.5
CAGAYAN,ALLACAPAN,Buffaloes (Carabaos),1108,0
CAGAYAN,ALLACAPAN,Bush Sitao,3,0.16
CAGAYAN,ALLACAPAN,Cacao,18,7.84
CAGAYAN,ALLACAPAN,Camansi,1,1.5
CAGAYAN,ALLACAPAN,Camote tops (talbos ng kamote),1,0.25
CAGAYAN,ALLACAPAN,Cassava (kamoteng kahoy),8,3.09
CAGAYAN,ALLACAPAN,Cattle,51,0
CAGAYAN,ALLACAPAN,Chickens,1429,0
CAGAYAN,ALLACAPAN,Chili (labuyo),2,0.14
CAGAYAN,ALLACAPAN,Coconut,374,245.39
CAGAYAN,ALLACAPAN,Coffee - other varieties,3,1.8
CAGAYAN,ALLACAPAN,Common gourd (upo),1,0.01
CAGAYAN,ALLACAPAN,Corn,1128,1573.69
CAGAYAN,ALLACAPAN,Dogs and cats,2,0
CAGAYAN,ALLACAPAN,Dragon Fruit,5,1.48
CAGAYAN,ALLACAPAN,Ducks,757,0
CAGAYAN,ALLACAPAN,Eggplant (talong),11,3.59
CAGAYAN,ALLACAPAN,"Forage grass (sacate, alfalfa, green corn stalk)",1,2.8
CAGAYAN,ALLACAPAN,Gabi tubers,7,1.24
CAGAYAN,ALLACAPAN,Geese,63,0
CAGAYAN,ALLACAPAN,Ginger (luya),2,0.5
CAGAYAN,ALLACAPAN,Gmelina Arborea,4,1.95
CAGAYAN,ALLACAPAN,Goats,122,0
CAGAYAN,ALLACAPAN,Grapes (ubas),2,0.88
CAGAYAN,ALLACAPAN,Guinea Fowls,1,0
CAGAYAN,ALLACAPAN,Guyabano,2,0.75
CAGAYAN,ALLACAPAN,Hito/Catfish,51,18
CAGAYAN,ALLACAPAN,Horses,3,0
CAGAYAN,ALLACAPAN,Kalamansi,6,1.6
CAGAYAN,ALLACAPAN,Kidney Bean (Patani),1,0.04
CAGAYAN,ALLACAPAN,Lanzones,2,2
CAGAYAN,ALLACAPAN,Lemon,1,0.13
CAGAYAN,ALLACAPAN,Lime (Calamansi),14,7.62
CAGAYAN,ALLACAPAN,Lime (dayap),1,0.5
CAGAYAN,ALLACAPAN,Mahogany,1,1.5
CAGAYAN,ALLACAPAN,Mandarin (dalanghita),46,27.68
CAGAYAN,ALLACAPAN,Mango,12,5.61
CAGAYAN,ALLACAPAN,Mongo (Mung Bean),6,0.77
CAGAYAN,ALLACAPAN,Narra,1,1.5
CAGAYAN,ALLACAPAN,Okra,6,2.28
CAGAYAN,ALLACAPAN,Orange (dalandan),1,0.25
CAGAYAN,ALLACAPAN,Other Fish,129,17.24
CAGAYAN,ALLACAPAN,Other fruit-bearing trees and vines,38,61.5
CAGAYAN,ALLACAPAN,Other fruit-bearing vegetables,37,24.69
CAGAYAN,ALLACAPAN,Other industrial crops,1,0.25
CAGAYAN,ALLACAPAN,Other leafy vegetables,28,11.03
CAGAYAN,ALLACAPAN,Other tubers - roots and bulbs,7,1.23
CAGAYAN,ALLACAPAN,Patola,2,0.05
CAGAYAN,ALLACAPAN,Pechay,2,0.23
CAGAYAN,ALLACAPAN,Pigeons,2,0
CAGAYAN,ALLACAPAN,Pigs or swine,624,0
CAGAYAN,ALLACAPAN,Pineapple,92,74.28
CAGAYAN,ALLACAPAN,Pomelo (suha),1,0
CAGAYAN,ALLACAPAN,Potato (patatas),1,0.5
CAGAYAN,ALLACAPAN,Quail,2,0
CAGAYAN,ALLACAPAN,Rabbits and hares,2,0
CAGAYAN,ALLACAPAN,Rambutan,9,3.93
CAGAYAN,ALLACAPAN,Rice/Palay,4570,8908.35
CAGAYAN,ALLACAPAN,Rubber,1,0.25
CAGAYAN,ALLACAPAN,Santol,1,0.5
CAGAYAN,ALLACAPAN,Sheep,3,0
CAGAYAN,ALLACAPAN,Squash (kalabasa),8,0.77
CAGAYAN,ALLACAPAN,Starapple (caimito),1,0.25
CAGAYAN,ALLACAPAN,String beans - harvested green (sitao),15,1.05
CAGAYAN,ALLACAPAN,Sugarcane,2,0.45
CAGAYAN,ALLACAPAN,Taro,6,1.15
CAGAYAN,ALLACAPAN,Tilapia,64,12.28
CAGAYAN,ALLACAPAN,Tomato (kamatis),2,0.15
CAGAYAN,ALLACAPAN,Turkeys,54,0
CAGAYAN,ALLACAPAN,Ube,1,0.17
CAGAYAN,ALLACAPAN,Water melon,1,0.1
CAGAYAN,ALLACAPAN,Winged Bean (pallang),1,0.17
CAGAYAN,AMULUNG,Ampalaya,1,0.5
CAGAYAN,AMULUNG,Buffaloes (Carabaos),110,0
CAGAYAN,AMULUNG,Cattle,8,0
CAGAYAN,AMULUNG,Chickens,81,0
CAGAYAN,AMULUNG,Corn,5451,9226.55
CAGAYAN,AMULUNG,Ducks,24,0
CAGAYAN,AMULUNG,"Forage grass (sacate, alfalfa, green corn stalk)",2,2.4
CAGAYAN,AMULUNG,Geese,1,0
CAGAYAN,AMULUNG,Goats,22,0
CAGAYAN,AMULUNG,Green corn,1,1
CAGAYAN,AMULUNG,Hito/Catfish,1,0.05
CAGAYAN,AMULUNG,Other animals (e.g.,14,0
CAGAYAN,AMULUNG,Other Fish,7,3.17
CAGAYAN,AMULUNG,Other fruit-bearing trees and vines,2,1.07
CAGAYAN,AMULUNG,Other fruit-bearing vegetables,6,2.72
CAGAYAN,AMULUNG,Other industrial crops,1,0.5
CAGAYAN,AMULUNG,Other leafy vegetables,5,4.05
CAGAYAN,AMULUNG,Other poultry,13,0
CAGAYAN,AMULUNG,Other varieties of tobacco,2,1
CAGAYAN,AMULUNG,Pigs or swine,54,0
CAGAYAN,AMULUNG,Rice/Palay,5164,8054.01
CAGAYAN,AMULUNG,Sheep,2,0
CAGAYAN,AMULUNG,Sugarcane,1,2
CAGAYAN,AMULUNG,Tilapia,5,2.01
CAGAYAN,AMULUNG,Tobacco (native),14,13.33
CAGAYAN,AMULUNG,Turkeys,1,0
CAGAYAN,APARRI,Banana,20,12.45
CAGAYAN,APARRI,Beans - dry,1,1
CAGAYAN,APARRI,Buffaloes (Carabaos),408,0
CAGAYAN,APARRI,Camote,1,0.25
CAGAYAN,APARRI,Cassava (kamoteng kahoy),15,11.6
CAGAYAN,APARRI,Cattle,90,0
CAGAYAN,APARRI,Chickens,802,0
CAGAYAN,APARRI,Citronella,8,4.05
CAGAYAN,APARRI,Coconut,23,28.75
CAGAYAN,APARRI,Coffee - other varieties,1,0.75
CAGAYAN,APARRI,Corn,228,266.41
